vendor_name,product,category,annual_cost,contract_start,contract_end,auto_renew,termination_notice_days,data_portability,export_format,api_available,uptime_sla,support_tier,lock_in_factors,switching_cost_estimate,users,data_volume_gb
Anthropic,Claude Team,Generative AI,28800,2025-09-01,2026-08-31,Yes,30,Good,"API-based — all prompts vendor-neutral, no proprietary lock-in",Yes,99.9%,Business,"Low — standard API, no custom fine-tuning",5000,45,2
OpenAI,GPT-4o API,Generative AI,24000,2025-06-01,2026-05-31,Yes,30,Good,"JSON export, standard REST API",Yes,99.9%,Standard,"Medium — avoid custom GPTs and Assistants API to keep portable",15000,20,5
Google,Gemini Pro via Vertex AI,AI Platform,36000,2025-07-01,2026-06-30,Yes,60,Medium,"Standard API, but Vertex pipeline features create lock-in",Yes,99.95%,Standard,"High if using Vertex orchestration — limit to model API calls only",45000,15,12
Meta,Llama 3.1 (Self-Hosted),Local LLM,0,2025-10-01,,No,0,Excellent,"Full model weights — complete data sovereignty",No,Self-managed,Community,"Lowest risk — self-hosted, no vendor dependency. Operational cost only (GPU/cloud)",2000,5,0
Mistral,Mistral Large API,Generative AI,18000,2025-11-01,2026-10-31,Yes,30,Good,"Standard API, EU data sovereignty",Yes,99.5%,Standard,"Low — competitive pricing, EU-based for data compliance",8000,10,1
Salesforce,Enterprise CRM,CRM,285000,2024-01-01,2026-12-31,Yes,120,Poor,"CSV export, limited API history — 20 years of CRM data locked in",Yes,99.9%,Premier,"Critical — custom objects, workflow automation, AppExchange integrations",950000,150,340
ServiceNow,ITSM,IT Service Management,144000,2025-03-01,2027-02-28,Yes,90,Medium,"XML/CSV export, REST API",Yes,99.8%,Standard,"Medium — CMDB relationships, custom workflows",280000,50,45
Snowflake,Data Cloud,Data Platform,240000,2025-04-01,2026-03-31,No,30,Good,"Parquet/CSV export, data sharing",Yes,99.9%,Business Critical,"Medium — stored procedures and data shares create stickiness",120000,20,2800
Microsoft,365 E5,Productivity Suite,187200,2025-01-01,2025-12-31,Yes,90,Medium,"Standard export tools, but ecosystem integration is deep",Yes,99.9%,Premier,"High — Entra ID, Teams, SharePoint deeply embedded across 600 employees",350000,300,500
Jira/Atlassian,Software Premium,Project Management,54000,2025-06-01,2026-01-31,Yes,30,Good,"CSV/JSON export, REST API",Yes,99.9%,Standard,"Low-Medium — build-vs-buy candidate (see L10 analysis)",25000,150,15
